Activity ID,Contact ID,Account ID,Activity Date,Campaign Name,Channel,Activity Type,Asset Name,UTM Source,UTM Medium,UTM Campaign,Engagement Score Impact,Lead Stage at Time of Touch,Summary
2d2ce2a1,2608717a,d71aa8c5,2025-03-23,Gartner Report Promo,Paid Ad,Viewed Ad,Gartner Magic Quadrant,paid_ad,cpc,gartner_report_promo,5,Lead,Viewed Ad from campaign 'Gartner Report Promo' via Paid Ad. Asset: Gartner Magic Quadrant.
f8ea4b7a,30c85856,fe506cce,2025-04-13,Tech Conference 2025,Webinar,Attended Webinar,,webinar,organic,tech_conference_2025,12,Lead,Attended Webinar from campaign 'Tech Conference 2025' via Webinar. Asset: .
2f74bae9,30c85856,fe506cce,2025-02-02,AI for Marketers Guide,Paid Ad,Clicked Ad,Blog: AI in RevOps,paid_ad,cpc,ai_for_marketers_guide,8,SQL,Clicked Ad from campaign 'AI for Marketers Guide' via Paid Ad. Asset: Blog: AI in RevOps.
cb76845d,30c85856,fe506cce,2025-04-24,LinkedIn Sponsored Post,Website,Downloaded Guide,ROI Calculator,website,organic,linkedin_sponsored_post,4,Lead,Downloaded Guide from campaign 'LinkedIn Sponsored Post' via Website. Asset: ROI Calculator.
2b4fe5ce,30c85856,fe506cce,2025-01-12,LinkedIn Sponsored Post,Paid Ad,Viewed Ad,Demo Video,paid_ad,cpc,linkedin_sponsored_post,12,Lead,Viewed Ad from campaign 'LinkedIn Sponsored Post' via Paid Ad. Asset: Demo Video.
26485f49,019baab5,05619ba9,2025-04-14,Spring Nurture Email Series,Organic Social,Clicked LinkedIn Post,,organic_social,organic,spring_nurture_email_series,9,Subscriber,Clicked LinkedIn Post from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
4518dc3d,019baab5,05619ba9,2025-02-20,Tech Conference 2025,Website,Visited Pricing Page,ROI Calculator,website,organic,tech_conference_2025,11,Lead,Visited Pricing Page from campaign 'Tech Conference 2025' via Website. Asset: ROI Calculator.
3e415638,019baab5,05619ba9,2025-05-02,Gartner Report Promo,Organic Social,Clicked LinkedIn Post,,organic_social,organic,gartner_report_promo,9,SQL,Clicked LinkedIn Post from campaign 'Gartner Report Promo' via Organic Social. Asset: .
727fe07c,019baab5,05619ba9,2025-02-20,AI for Marketers Guide,Email,Opened Email,Gartner Magic Quadrant,email,organic,ai_for_marketers_guide,10,Subscriber,Opened Email from campaign 'AI for Marketers Guide' via Email. Asset: Gartner Magic Quadrant.
ab468fe0,84052edc,1bb260a7,2025-04-26,Spring Nurture Email Series,Email,Submitted Form,Blog: AI in RevOps,email,organic,spring_nurture_email_series,11,Lead,Submitted Form from campaign 'Spring Nurture Email Series' via Email. Asset: Blog: AI in RevOps.
fc11ea8a,84052edc,1bb260a7,2025-04-03,LinkedIn Sponsored Post,Website,Visited Pricing Page,Demo Video,website,organic,linkedin_sponsored_post,15,Lead,Visited Pricing Page from campaign 'LinkedIn Sponsored Post' via Website. Asset: Demo Video.
2c5bb63e,3cd427ef,7b187336,2025-02-21,LinkedIn Sponsored Post,Webinar,Attended Webinar,,webinar,organic,linkedin_sponsored_post,9,MQL,Attended Webinar from campaign 'LinkedIn Sponsored Post' via Webinar. Asset: .
64141335,3cd427ef,7b187336,2025-03-07,LinkedIn Sponsored Post,Event,Registered Event,,event,organic,linkedin_sponsored_post,5,Subscriber,Registered Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
f4c7a67c,3cd427ef,7b187336,2025-02-27,Tech Conference 2025,Organic Social,Clicked LinkedIn Post,,organic_social,organic,tech_conference_2025,3,Lead,Clicked LinkedIn Post from campaign 'Tech Conference 2025' via Organic Social. Asset: .
b0206847,3cd427ef,7b187336,2025-02-16,Spring Nurture Email Series,Email,Opened Email,ROI Calculator,email,organic,spring_nurture_email_series,4,Subscriber,Opened Email from campaign 'Spring Nurture Email Series' via Email. Asset: ROI Calculator.
0e5b9228,3cd427ef,7b187336,2025-03-14,Spring Nurture Email Series,Website,Visited Homepage,Gartner Magic Quadrant,website,organic,spring_nurture_email_series,7,Lead,Visited Homepage from campaign 'Spring Nurture Email Series' via Website. Asset: Gartner Magic Quadrant.
83b06214,01ca08ba,d71aa8c5,2025-02-11,LinkedIn Sponsored Post,Event,Registered Event,,event,organic,linkedin_sponsored_post,4,Subscriber,Registered Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
3e66041e,01ca08ba,d71aa8c5,2025-02-02,Gartner Report Promo,Website,Visited Homepage,2025 Buying Guide,website,organic,gartner_report_promo,7,SQL,Visited Homepage from campaign 'Gartner Report Promo' via Website. Asset: 2025 Buying Guide.
afa741bf,01ca08ba,d71aa8c5,2025-03-06,Gartner Report Promo,Organic Social,Viewed Organic Video,,organic_social,organic,gartner_report_promo,14,MQL,Viewed Organic Video from campaign 'Gartner Report Promo' via Organic Social. Asset: .
9e3169bc,01ca08ba,d71aa8c5,2025-03-19,Tech Conference 2025,Website,Visited Homepage,Demo Video,website,organic,tech_conference_2025,9,SQL,Visited Homepage from campaign 'Tech Conference 2025' via Website. Asset: Demo Video.
354d778e,f22ae84e,9f0846d2,2025-03-27,Spring Nurture Email Series,Webinar,Attended Webinar,,webinar,organic,spring_nurture_email_series,10,Subscriber,Attended Webinar from campaign 'Spring Nurture Email Series' via Webinar. Asset: .
148fdd31,f22ae84e,9f0846d2,2025-03-04,2025 Demand Gen Webinar,Email,Submitted Form,Gartner Magic Quadrant,email,organic,2025_demand_gen_webinar,13,Subscriber,Submitted Form from campaign '2025 Demand Gen Webinar' via Email. Asset: Gartner Magic Quadrant.
beb95dab,f22ae84e,9f0846d2,2025-01-31,Tech Conference 2025,Email,Submitted Form,Demo Video,email,organic,tech_conference_2025,4,SQL,Submitted Form from campaign 'Tech Conference 2025' via Email. Asset: Demo Video.
bf09b629,6b59c798,9090a1cc,2025-01-12,2025 Demand Gen Webinar,Email,Opened Email,ROI Calculator,email,organic,2025_demand_gen_webinar,7,Subscriber,Opened Email from campaign '2025 Demand Gen Webinar' via Email. Asset: ROI Calculator.
3c3b1abf,6b59c798,9090a1cc,2025-03-01,Spring Nurture Email Series,Organic Social,Clicked LinkedIn Post,,organic_social,organic,spring_nurture_email_series,14,Lead,Clicked LinkedIn Post from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
a2072622,6b59c798,9090a1cc,2025-03-06,Gartner Report Promo,Organic Social,Clicked LinkedIn Post,,organic_social,organic,gartner_report_promo,13,Lead,Clicked LinkedIn Post from campaign 'Gartner Report Promo' via Organic Social. Asset: .
be04fbb0,6b59c798,9090a1cc,2025-02-19,Tech Conference 2025,Website,Visited Pricing Page,Demo Video,website,organic,tech_conference_2025,4,Subscriber,Visited Pricing Page from campaign 'Tech Conference 2025' via Website. Asset: Demo Video.
e9c11f45,04b96fa6,0aba4c25,2025-02-06,Tech Conference 2025,Email,Clicked Email,Gartner Magic Quadrant,email,organic,tech_conference_2025,7,MQL,Clicked Email from campaign 'Tech Conference 2025' via Email. Asset: Gartner Magic Quadrant.
61342119,04b96fa6,0aba4c25,2025-04-26,Tech Conference 2025,Website,Downloaded Guide,Demo Video,website,organic,tech_conference_2025,14,Lead,Downloaded Guide from campaign 'Tech Conference 2025' via Website. Asset: Demo Video.
6073f9a1,04b96fa6,0aba4c25,2025-02-18,LinkedIn Sponsored Post,Website,Visited Pricing Page,Blog: AI in RevOps,website,organic,linkedin_sponsored_post,6,MQL,Visited Pricing Page from campaign 'LinkedIn Sponsored Post' via Website. Asset: Blog: AI in RevOps.
b8c5241c,04b96fa6,0aba4c25,2025-04-19,Spring Nurture Email Series,Paid Ad,Clicked Ad,Blog: AI in RevOps,paid_ad,cpc,spring_nurture_email_series,10,Lead,Clicked Ad from campaign 'Spring Nurture Email Series' via Paid Ad. Asset: Blog: AI in RevOps.
733ec03d,04b96fa6,0aba4c25,2025-03-03,2025 Demand Gen Webinar,Website,Visited Homepage,Gartner Magic Quadrant,website,organic,2025_demand_gen_webinar,3,MQL,Visited Homepage from campaign '2025 Demand Gen Webinar' via Website. Asset: Gartner Magic Quadrant.
2f51c89f,db24e8a2,ce08752d,2025-02-09,Tech Conference 2025,Event,Attended Event,,event,organic,tech_conference_2025,7,MQL,Attended Event from campaign 'Tech Conference 2025' via Event. Asset: .
a14be680,db24e8a2,ce08752d,2025-02-12,Tech Conference 2025,Website,Visited Pricing Page,ROI Calculator,website,organic,tech_conference_2025,10,Subscriber,Visited Pricing Page from campaign 'Tech Conference 2025' via Website. Asset: ROI Calculator.
e9882529,db24e8a2,ce08752d,2025-01-31,LinkedIn Sponsored Post,Organic Social,Clicked LinkedIn Post,,organic_social,organic,linkedin_sponsored_post,10,MQL,Clicked LinkedIn Post from campaign 'LinkedIn Sponsored Post' via Organic Social. Asset: .
3837b96b,ba08d7a5,463cf4c1,2025-02-19,Gartner Report Promo,Organic Social,Clicked LinkedIn Post,,organic_social,organic,gartner_report_promo,6,Lead,Clicked LinkedIn Post from campaign 'Gartner Report Promo' via Organic Social. Asset: .
3a44fc04,ba08d7a5,463cf4c1,2025-01-28,AI for Marketers Guide,Email,Opened Email,Demo Video,email,organic,ai_for_marketers_guide,4,SQL,Opened Email from campaign 'AI for Marketers Guide' via Email. Asset: Demo Video.
f96f1070,ba08d7a5,463cf4c1,2025-03-28,Spring Nurture Email Series,Paid Ad,Viewed Ad,Demo Video,paid_ad,cpc,spring_nurture_email_series,6,MQL,Viewed Ad from campaign 'Spring Nurture Email Series' via Paid Ad. Asset: Demo Video.
baf60593,ba08d7a5,463cf4c1,2025-04-22,Tech Conference 2025,Website,Visited Pricing Page,ROI Calculator,website,organic,tech_conference_2025,4,SQL,Visited Pricing Page from campaign 'Tech Conference 2025' via Website. Asset: ROI Calculator.
f7e18293,ba08d7a5,463cf4c1,2025-04-15,LinkedIn Sponsored Post,Email,Submitted Form,Blog: AI in RevOps,email,organic,linkedin_sponsored_post,4,MQL,Submitted Form from campaign 'LinkedIn Sponsored Post' via Email. Asset: Blog: AI in RevOps.
da041aa0,5c942f42,c632e010,2025-03-17,Gartner Report Promo,Email,Clicked Email,Demo Video,email,organic,gartner_report_promo,10,SQL,Clicked Email from campaign 'Gartner Report Promo' via Email. Asset: Demo Video.
